调仓日,期末,代码,名称,买入价,卖出价,股数,止损日,区间收益
20190102,20190109,600104.SH,上汽集团,26.38,24.99,3800,,-0.0527
20190102,20190109,600900.SH,长江电力,15.79,15.65,6300,,-0.0089
20190102,20190109,000895.SZ,双汇发展,23.85,25.0,4200,,0.0482
20190102,20190109,601006.SH,大秦铁路,8.2,8.2,12200,,0.0
20190102,20190109,600660.SH,福耀玻璃,22.78,21.8,4400,,-0.043
20190102,20190109,000069.SZ,华侨城A,6.32,6.15,15800,,-0.0269
20190102,20190109,600741.SH,华域汽车,18.45,18.28,5400,,-0.0092
20190102,20190109,000338.SZ,潍柴动力,7.74,7.72,12900,,-0.0026
20190102,20190109,601988.SH,中国银行,3.62,3.54,27600,,-0.0221
20190102,20190109,601288.SH,农业银行,3.61,3.54,27700,,-0.0194
20190109,20190116,000895.SZ,双汇发展,25.0,24.99,3900,,-0.0004
20190109,20190116,601006.SH,大秦铁路,8.2,8.11,12000,,-0.011
20190109,20190116,601933.SH,永辉超市,8.04,8.26,12300,,0.0274
20190109,20190116,600900.SH,长江电力,15.65,15.41,6300,,-0.0153
20190109,20190116,300498.SZ,温氏股份,27.41,27.8,3600,,0.0142
20190109,20190116,601328.SH,交通银行,5.9,5.94,16700,,0.0068
20190109,20190116,600104.SH,上汽集团,24.99,25.18,3900,,0.0076
20190109,20190116,002714.SZ,牧原股份,31.08,29.99,3200,,-0.0351
20190109,20190116,600019.SH,宝钢股份,6.71,6.78,14700,,0.0104
20190109,20190116,600741.SH,华域汽车,18.28,18.9,5400,,0.0339
20190116,20190123,601933.SH,永辉超市,8.26,8.18,12000,,-0.0097
20190116,20190123,601818.SH,光大银行,3.91,3.89,25300,,-0.0051
20190116,20190123,000895.SZ,双汇发展,24.99,,4000,,
20190116,20190123,601328.SH,交通银行,5.94,6.04,16600,,0.0168
20190116,20190123,000338.SZ,潍柴动力,8.13,8.24,12200,,0.0135
20190116,20190123,600519.SH,贵州茅台,658.0,667.22,200,,0.014
20190116,20190123,601155.SH,新城控股,25.79,26.35,3800,,0.0217
20190116,20190123,600019.SH,宝钢股份,6.78,6.93,14600,,0.0221
20190116,20190123,600887.SH,伊利股份,24.01,24.31,4100,,0.0125
20190116,20190123,601166.SH,兴业银行,15.45,15.55,4200,,0.0065
20190123,20190130,601225.SH,陕西煤业,8.08,8.34,12300,,0.0322
20190123,20190130,600019.SH,宝钢股份,6.93,6.93,14400,,0.0
20190123,20190130,000338.SZ,潍柴动力,8.24,8.72,12100,,0.0583
20190123,20190130,600028.SH,中国石化,5.35,5.6,18600,,0.0467
20190123,20190130,601328.SH,交通银行,6.04,6.12,16500,,0.0132
20190123,20190130,601088.SH,中国神华,19.18,19.88,5200,,0.0365
20190123,20190130,601169.SH,北京银行,5.77,5.87,17300,,0.0173
20190123,20190130,600309.SH,万华化学,32.15,33.0,3100,,0.0264
20190123,20190130,600036.SH,招商银行,26.95,28.6,3700,,0.0612
20190123,20190130,601009.SH,南京银行,6.71,6.97,14600,,0.0387
20190130,20190213,000338.SZ,潍柴动力,8.72,9.37,11800,,0.0745
20190130,20190213,600028.SH,中国石化,5.6,5.71,18300,,0.0196
20190130,20190213,601225.SH,陕西煤业,8.34,8.41,12300,,0.0084
20190130,20190213,600031.SH,三一重工,9.16,9.67,11200,,0.0557
20190130,20190213,601877.SH,正泰电器,25.95,26.77,4000,,0.0316
20190130,20190213,600585.SH,海螺水泥,32.03,33.68,3200,,0.0515
20190130,20190213,600741.SH,华域汽车,20.31,20.9,5100,,0.029
20190130,20190213,601006.SH,大秦铁路,8.68,8.64,11800,,-0.0046
20190130,20190213,601088.SH,中国神华,19.88,20.05,5200,,0.0086
20190130,20190213,600036.SH,招商银行,28.6,29.32,3500,,0.0252
20190213,20190220,000338.SZ,潍柴动力,9.37,9.59,11300,,0.0235
20190213,20190220,600028.SH,中国石化,5.71,5.87,18500,,0.028
20190213,20190220,601288.SH,农业银行,3.72,3.7,28400,,-0.0054
20190213,20190220,601988.SH,中国银行,3.69,3.69,28700,,0.0
20190213,20190220,600660.SH,福耀玻璃,24.63,24.55,4300,,-0.0032
20190213,20190220,601398.SH,工商银行,5.65,5.58,18700,,-0.0124
20190213,20190220,601939.SH,建设银行,7.06,7.0,15000,,-0.0085
20190213,20190220,600031.SH,三一重工,9.67,9.64,10900,,-0.0031
20190213,20190220,600585.SH,海螺水泥,33.68,35.27,3100,,0.0472
20190213,20190220,002142.SZ,宁波银行,17.94,18.13,5900,,0.0106
20190220,20190227,600028.SH,中国石化,5.87,6.0,18100,,0.0221
20190220,20190227,000858.SZ,五粮液,69.5,69.55,1500,,0.0007
20190220,20190227,600585.SH,海螺水泥,35.27,35.39,3000,,0.0034
20190220,20190227,600340.SH,华夏幸福,29.68,31.2,3600,,0.0512
20190220,20190227,600009.SH,上海机场,55.0,56.55,1900,,0.0282
20190220,20190227,600104.SH,上汽集团,27.9,28.3,3800,,0.0143
20190220,20190227,000568.SZ,泸州老窖,50.14,51.3,2100,,0.0231
20190220,20190227,600919.SH,江苏银行,6.38,6.84,16700,,0.0721
20190220,20190227,600660.SH,福耀玻璃,24.55,24.71,4300,,0.0065
20190220,20190227,601998.SH,中信银行,5.76,6.3,18500,,0.0938
20190227,20190306,600703.SH,三安光电,14.83,15.21,7400,,0.0256
20190227,20190306,600028.SH,中国石化,6.0,6.08,18300,,0.0133
20190227,20190306,002714.SZ,牧原股份,47.35,52.89,2300,,0.117
20190227,20190306,601899.SH,紫金矿业,3.66,3.62,30000,,-0.0109
20190227,20190306,600019.SH,宝钢股份,7.62,7.69,14400,,0.0092
20190227,20190306,600340.SH,华夏幸福,31.2,32.8,3500,,0.0513
20190227,20190306,600438.SH,通威股份,12.88,11.75,8500,20190227,-0.0877
20190227,20190306,002236.SZ,大华股份,16.5,17.2,6700,,0.0424
20190227,20190306,601607.SH,上海医药,18.62,18.96,5900,,0.0183
20190227,20190306,600795.SH,国电电力,2.68,2.71,41000,,0.0112
20190306,20190313,601155.SH,新城控股,36.9,37.9,3000,,0.0271
20190306,20190313,600188.SH,兖矿能源,10.84,10.45,10300,,-0.036
20190306,20190313,600028.SH,中国石化,6.08,5.98,18400,,-0.0164
20190306,20190313,600958.SH,东方证券,12.84,12.31,8700,,-0.0413
20190306,20190313,600019.SH,宝钢股份,7.69,7.46,14500,,-0.0299
20190306,20190313,601225.SH,陕西煤业,9.15,8.7,12200,,-0.0492
20190306,20190313,601998.SH,中信银行,6.82,6.38,16400,,-0.0645
20190306,20190313,000725.SZ,京东方A,4.27,4.1,26200,,-0.0398
20190306,20190313,002736.SZ,国信证券,11.94,14.3,9400,,0.1977
20190306,20190313,600919.SH,江苏银行,7.49,7.38,14900,,-0.0147
20190313,20190320,601155.SH,新城控股,37.9,42.9,2900,,0.1319
20190313,20190320,601009.SH,南京银行,7.84,7.93,14200,,0.0115
20190313,20190320,000895.SZ,双汇发展,25.97,25.6,4300,,-0.0142
20190313,20190320,002607.SZ,中公教育,11.98,12.37,9300,,0.0326
20190313,20190320,601788.SH,光大证券,14.3,12.9,7800,,-0.0979
20190313,20190320,600031.SH,三一重工,11.75,12.76,9400,,0.086
20190313,20190320,600919.SH,江苏银行,7.38,7.13,15000,,-0.0339
20190313,20190320,600188.SH,兖矿能源,10.45,10.77,10600,,0.0306
20190313,20190320,600795.SH,国电电力,2.82,2.76,39300,,-0.0213
20190313,20190320,600028.SH,中国石化,5.98,6.04,18500,,0.01
20190320,20190327,000895.SZ,双汇发展,25.6,24.88,4400,,-0.0281
20190320,20190327,000338.SZ,潍柴动力,11.26,11.45,10000,,0.0169
20190320,20190327,600018.SH,上港集团,7.18,7.02,15600,,-0.0223
20190320,20190327,600031.SH,三一重工,12.76,12.15,8800,,-0.0478
20190320,20190327,601009.SH,南京银行,7.93,7.72,14200,,-0.0265
20190320,20190327,600028.SH,中国石化,6.04,5.71,18600,,-0.0546
20190320,20190327,600900.SH,长江电力,16.85,17.03,6700,,0.0107
20190320,20190327,600606.SH,绿地控股,7.68,7.35,14600,,-0.043
20190320,20190327,600809.SH,山西汾酒,58.48,57.0,1900,,-0.0253
20190320,20190327,000100.SZ,TCL科技,3.94,4.1,28500,,0.0406
20190327,20190403,000895.SZ,双汇发展,24.88,25.82,4400,,0.0378
20190327,20190403,601155.SH,新城控股,41.42,43.6,2700,,0.0526
20190327,20190403,000338.SZ,潍柴动力,11.45,12.41,9600,,0.0838
20190327,20190403,000568.SZ,泸州老窖,59.96,65.7,1800,,0.0957
20190327,20190403,600900.SH,长江电力,17.03,16.85,6500,,-0.0106
20190327,20190403,600018.SH,上港集团,7.02,7.48,15700,,0.0655
