调仓日,期末,动作,择时信号,代码,名称,综合得分,7日涨幅,溢价率,信号价,成交价,日均成交量(股),份额,市值,区间收益,操作,缓冲持仓,总资产,本期换手
20240105,20240111,rotate,,164906.SZ,交银中证海外中国互联网指数(QDII-LOF)-A,242.52669,0.041427,-0.008037,0.905,0.901,19466229.4,44300.0,39914.3,-0.035516,buy,,199980.03,0.4992
20240105,20240111,rotate,,159697.SZ,鹏华国证石油天然气ETF,240.391459,0.047046,-0.002606,0.957,0.952,8364242.0,42000.0,39984.0,-0.017857,buy,,199980.03,0.4992
20240105,20240111,rotate,,159625.SZ,嘉实国证绿色电力ETF,229.181495,0.033498,-0.002378,1.049,1.048,25945000.6,38100.0,39928.8,-0.01145,buy,,199980.03,0.4992
20240105,20240111,rotate,,510410.SH,博时上证自然资源ETF,227.224199,0.044677,-0.001544,1.099,1.097,28795460.0,36400.0,39930.8,-0.019143,buy,,199980.03,0.4992
20240105,20240111,rotate,,561330.SH,国泰中证有色金属矿业主题ETF,222.953737,0.02924,-0.002946,0.88,0.874,18992958.4,45700.0,39941.8,-0.012586,buy,,199980.03,0.4992
20240111,20240118,rotate,,159945.SZ,广发中证全指能源ETF,242.04947,0.037754,-0.002141,1.072,1.072,5932860.0,36500.0,39128.0,-0.014925,buy,,196084.97,0.9983
20240111,20240118,rotate,,159887.SZ,富国中证800银行ETF,227.738516,0.003517,-0.0014,0.856,0.854,78392200.2,45900.0,39198.6,0.012881,buy,,196084.97,0.9983
20240111,20240118,rotate,,515100.SH,景顺长城中证红利低波动100ETF,222.614841,0.007843,-0.000778,1.285,1.282,115559980.0,30500.0,39101.0,-0.00078,buy,,196084.97,0.9983
20240111,20240118,rotate,,159666.SZ,华夏中证全指运输ETF,221.024735,-0.012941,-0.003326,0.839,0.841,7021639.4,46600.0,39190.6,0.009512,buy,,196084.97,0.9983
20240111,20240118,rotate,,513950.SH,富国恒生港股通红利低波动ETF(QDII),219.787986,-0.017076,-0.004647,0.921,0.923,26010880.0,42400.0,39135.2,-0.027086,buy,,196084.97,0.9983
20240118,20240125,rotate,,501225.SH,景顺长城全球半导体芯片产业股票(QDII-LOF)-A-CNY,241.459075,0.002747,-0.022717,1.095,1.097,6621709.8,35600.0,39053.2,0.079307,buy,,195249.16,0.9987
20240118,20240125,rotate,,161226.SZ,国投瑞银白银期货(LOF)-A,236.83274,0.0,-0.007054,0.746,0.742,14978026.2,52600.0,39029.2,-0.004043,buy,,195249.16,0.9987
20240118,20240125,rotate,,159766.SZ,富国中证旅游主题ETF,234.875445,0.034884,-0.001403,0.712,0.707,194444644.0,55200.0,39026.4,-0.01273,buy,,195249.16,0.9987
20240118,20240125,rotate,,515790.SH,华泰柏瑞中证光伏产业ETF,234.697509,0.015403,-0.001631,0.857,0.85,771250860.8,45900.0,39015.0,-0.002353,buy,,195249.16,0.9987
20240118,20240125,rotate,,159980.SZ,大成有色金属期货ETF,234.341637,-0.001317,-0.004724,1.517,1.499,18115462.8,26000.0,38974.0,0.026684,buy,,195249.16,0.9987
20240125,20240201,rotate,,159503.SZ,鹏扬国证财富管理ETF,226.0,0.027542,-0.002673,0.97,0.974,12167369.0,40700.0,39641.8,-0.01848,buy,,198600.27,0.9991
20240125,20240201,rotate,,560030.SH,汇添富中证800价值ETF,218.0,0.008502,-0.002418,0.949,0.959,6069240.0,41400.0,39702.6,-0.066736,buy,,198600.27,0.9991
