调仓日,期末,代码,名称,市值排名,总市值(万元),成交价,份额,市值,权重,区间收益,操作,缓冲持仓,总资产,本期换手
20190103,20190110,300029.SZ,天龙退,1.0,93400.0,4.65,12900.0,59985.0,0.019995,0.064516,buy,,3000000.0,0.4964
20190103,20190110,002200.SZ,交投生态,2.0,104771.6,5.65,10600.0,59890.0,0.019963,0.072566,buy,,3000000.0,0.4964
20190103,20190110,002072.SZ,凯瑞德,3.0,108416.0,6.16,9700.0,59752.0,0.019917,0.055195,buy,,3000000.0,0.4964
20190103,20190110,300106.SZ,西部牧业,4.0,110738.1,5.28,11300.0,59664.0,0.019888,0.070076,buy,,3000000.0,0.4964
20190103,20190110,300592.SZ,华凯易佰,5.0,110387.8,9.01,6600.0,59466.0,0.019822,0.051054,buy,,3000000.0,0.4964
20190103,20190110,300069.SZ,金利华电,6.0,124605.0,9.32,6400.0,59648.0,0.019883,0.143777,buy,,3000000.0,0.4964
20190103,20190110,300665.SZ,飞鹿股份,7.0,117708.8,9.67,6200.0,59954.0,0.019985,0.171665,buy,,3000000.0,0.4964
20190103,20190110,300330.SZ,计通退(退),8.0,117768.0,6.81,8800.0,59928.0,0.019976,0.069016,buy,,3000000.0,0.4964
20190103,20190110,300220.SZ,金运激光,9.0,123606.0,9.83,6100.0,59963.0,0.019988,0.030519,buy,,3000000.0,0.4964
20190103,20190110,002890.SZ,弘宇股份,10.0,123139.5,18.45,3200.0,59040.0,0.01968,0.039566,buy,,3000000.0,0.4964
20190103,20190110,300275.SZ,梅安森,11.0,122385.6,7.51,7900.0,59329.0,0.019776,0.065246,buy,,3000000.0,0.4964
20190103,20190110,002800.SZ,天顺股份,12.0,123968.8,16.6,3600.0,59760.0,0.01992,0.057229,buy,,3000000.0,0.4964
20190103,20190110,300551.SZ,古鳌科技,13.0,124125.1,11.19,5300.0,59307.0,0.019769,0.038427,buy,,3000000.0,0.4964
20190103,20190110,603029.SH,天鹅股份,14.0,124422.2,13.57,4400.0,59708.0,0.019903,0.027266,buy,,3000000.0,0.4964
20190103,20190110,603286.SH,日盈电子,15.0,124451.4,14.3,4100.0,58630.0,0.019543,0.031469,buy,,3000000.0,0.4964
20190103,20190110,603088.SH,宁波精达,16.0,127120.0,11.43,5200.0,59436.0,0.019812,0.028871,buy,,3000000.0,0.4964
20190103,20190110,300521.SZ,爱司凯,17.0,126864.0,8.85,6700.0,59295.0,0.019765,0.049718,buy,,3000000.0,0.4964
20190103,20190110,300680.SZ,隆盛科技,18.0,124176.6,17.13,3500.0,59955.0,0.019985,-0.007589,buy,,3000000.0,0.4964
20190103,20190110,002760.SZ,凤形股份,19.0,124520.0,14.7,4000.0,58800.0,0.0196,-0.006122,buy,,3000000.0,0.4964
20190103,20190110,603269.SH,海鸥股份,20.0,131991.2,14.42,4100.0,59122.0,0.019707,0.038141,buy,,3000000.0,0.4964
20190103,20190110,300093.SZ,金刚光伏,21.0,131544.0,6.05,9900.0,59895.0,0.019965,0.095868,buy,,3000000.0,0.4964
20190103,20190110,002569.SZ,*ST步森,22.0,126989.1,9.41,6300.0,59283.0,0.019761,0.082891,buy,,3000000.0,0.4964
20190103,20190110,600213.SH,*ST亚星(退),23.0,132880.0,6.06,9900.0,59994.0,0.019998,0.056106,buy,,3000000.0,0.4964
20190103,20190110,002209.SZ,达意隆,24.0,131399.2,6.84,8700.0,59508.0,0.019836,0.017544,buy,,3000000.0,0.4964
20190103,20190110,002420.SZ,毅昌科技,25.0,132330.0,3.35,17900.0,59965.0,0.019988,0.047761,buy,,3000000.0,0.4964
20190103,20190110,002112.SZ,三变科技,26.0,129024.0,6.69,8900.0,59541.0,0.019847,0.035874,buy,,3000000.0,0.4964
20190103,20190110,300022.SZ,吉峰科技,27.0,135745.8,3.55,16900.0,59995.0,0.019998,0.107042,buy,,3000000.0,0.4964
20190103,20190110,300535.SZ,达威股份,28.0,134670.8,12.98,4600.0,59708.0,0.019903,0.014638,buy,,3000000.0,0.4964
20190103,20190110,000835.SZ,长动退(退),29.0,135605.6,4.19,14300.0,59917.0,0.019972,0.042959,buy,,3000000.0,0.4964
20190103,20190110,300254.SZ,仟源医药,30.0,135191.9,6.6,9000.0,59400.0,0.0198,0.034848,buy,,3000000.0,0.4964
20190103,20190110,600095.SH,湘财股份,31.0,134751.3,3.83,15600.0,59748.0,0.019916,0.046997,buy,,3000000.0,0.4964
20190103,20190110,000713.SZ,国投丰乐,32.0,136885.2,4.59,13000.0,59670.0,0.01989,0.045752,buy,,3000000.0,0.4964
20190103,20190110,002205.SZ,国统股份,33.0,138569.4,11.9,5000.0,59500.0,0.019833,0.083193,buy,,3000000.0,0.4964
20190103,20190110,300235.SZ,方直科技,34.0,138796.3,8.19,7300.0,59787.0,0.019929,0.058608,buy,,3000000.0,0.4964
20190103,20190110,603536.SH,惠发食品,35.0,142128.0,8.25,7200.0,59400.0,0.0198,0.042424,buy,,3000000.0,0.4964
20190103,20190110,002499.SZ,科林退(退),36.0,139293.0,7.39,8100.0,59859.0,0.019953,0.05548,buy,,3000000.0,0.4964
20190103,20190110,300640.SZ,德艺文创,37.0,140742.2,9.5,6300.0,59850.0,0.01995,0.04,buy,,3000000.0,0.4964
20190103,20190110,300216.SZ,千山退(退),38.0,143489.7,3.9,15300.0,59670.0,0.01989,0.074359,buy,,3000000.0,0.4964
20190103,20190110,300517.SZ,海波重科,39.0,140833.6,13.21,4500.0,59445.0,0.019815,0.036336,buy,,3000000.0,0.4964
20190103,20190110,300092.SZ,科新机电,40.0,144389.0,6.08,9800.0,59584.0,0.019861,0.085526,buy,,3000000.0,0.4964
20190103,20190110,002780.SZ,三夫户外,41.0,139046.0,12.56,4700.0,59032.0,0.019677,0.038217,buy,,3000000.0,0.4964
20190103,20190110,002805.SZ,丰元股份,42.0,140331.2,14.6,4100.0,59860.0,0.019953,0.021918,buy,,3000000.0,0.4964
20190103,20190110,603879.SH,永悦科技,43.0,142128.0,9.99,6000.0,59940.0,0.01998,-0.004004,buy,,3000000.0,0.4964
20190103,20190110,002729.SZ,好利科技,44.0,138027.6,21.58,2700.0,58266.0,0.019422,-0.006024,buy,,3000000.0,0.4964
20190103,20190110,300622.SZ,博士眼镜,45.0,143044.4,16.44,3600.0,59184.0,0.019728,0.05292,buy,,3000000.0,0.4964
20190103,20190110,300536.SZ,农尚环境,46.0,142957.0,8.51,7000.0,59570.0,0.019857,0.028202,buy,,3000000.0,0.4964
20190103,20190110,300585.SZ,奥联电子,47.0,143325.6,8.85,6700.0,59295.0,0.019765,0.030508,buy,,3000000.0,0.4964
20190103,20190110,603721.SH,中广天择,48.0,143700.0,14.45,4100.0,59245.0,0.019748,0.025606,buy,,3000000.0,0.4964
20190103,20190110,600371.SH,万向德农,49.0,141337.7,6.41,9300.0,59613.0,0.019871,0.051482,buy,,3000000.0,0.4964
20190103,20190110,000702.SZ,正虹科技,50.0,143982.7,5.4,11100.0,59940.0,0.01998,0.0,buy,,3000000.0,0.4964
20190110,20190117,300029.SZ,天龙退,1.0,99800.0,4.95,12900.0,63855.0,0.020305,0.018182,hold,,3144860.17,0.0816
20190110,20190117,002200.SZ,交投生态,2.0,111400.4,6.06,10600.0,64236.0,0.020426,-0.011551,hold,,3144860.17,0.0816
20190110,20190117,002072.SZ,凯瑞德,3.0,112816.0,6.5,9700.0,63050.0,0.020049,-0.02,hold,,3144860.17,0.0816
20190110,20190117,300592.SZ,华凯易佰,4.0,115772.5,9.47,6600.0,62502.0,0.019874,0.007392,hold,,3144860.17,0.0816
20190110,20190117,300489.SZ,光智科技,5.0,115343.2,12.78,4900.0,62622.0,0.019912,-0.015649,buy,,3144860.17,0.0816
20190110,20190117,300106.SZ,西部牧业,6.0,119191.4,5.65,11300.0,63845.0,0.020301,0.00708,hold,,3144860.17,0.0816
20190110,20190117,300330.SZ,计通退(退),7.0,122640.0,7.28,8800.0,64064.0,0.020371,0.016484,hold,,3144860.17,0.0816
20190110,20190117,300069.SZ,金利华电,8.0,129753.0,10.66,6400.0,68224.0,0.021694,-0.001876,hold,,3144860.17,0.0816
20190110,20190117,300551.SZ,古鳌科技,9.0,127646.4,11.62,5300.0,61586.0,0.019583,0.022375,hold,,3144860.17,0.0816
20190110,20190117,300680.SZ,隆盛科技,10.0,126480.3,17.0,3500.0,59500.0,0.01892,0.032941,hold,,3144860.17,0.0816
20190110,20190117,300220.SZ,金运激光,11.0,127134.0,10.13,6100.0,61793.0,0.019649,0.012833,hold,,3144860.17,0.0816
20190110,20190117,002890.SZ,弘宇股份,12.0,126539.7,19.18,3200.0,61376.0,0.019516,0.00365,hold,,3144860.17,0.0816
20190110,20190117,603029.SH,天鹅股份,13.0,128342.5,13.94,4400.0,61336.0,0.019504,0.019369,hold,,3144860.17,0.0816
20190110,20190117,002760.SZ,凤形股份,14.0,130504.0,14.61,4000.0,58440.0,0.018583,0.019165,hold,,3144860.17,0.0816
20190110,20190117,603286.SH,日盈电子,15.0,129735.9,14.75,4100.0,60475.0,0.01923,-0.001356,hold,,3144860.17,0.0816
20190110,20190117,300275.SZ,梅安森,16.0,132406.5,8.0,7900.0,63200.0,0.020096,0.0075,hold,,3144860.17,0.0816
20190110,20190117,002800.SZ,天顺股份,17.0,129271.1,17.55,3600.0,63180.0,0.02009,-0.021083,hold,,3144860.17,0.0816
20190110,20190117,600099.SH,林海股份,18.0,131691.1,6.0,10400.0,62400.0,0.019842,0.02,buy,,3144860.17,0.0816
20190110,20190117,002209.SZ,达意隆,19.0,135304.1,6.96,8700.0,60552.0,0.019254,0.007184,hold,,3144860.17,0.0816
20190110,20190117,603269.SH,海鸥股份,20.0,135192.7,14.97,4100.0,61377.0,0.019517,0.005344,hold,,3144860.17,0.0816
20190110,20190117,300535.SZ,达威股份,21.0,136654.4,13.17,4600.0,60582.0,0.019264,0.05391,hold,,3144860.17,0.0816
20190110,20190117,002112.SZ,三变科技,22.0,140515.2,6.93,8900.0,61677.0,0.019612,-0.030303,hold,,3144860.17,0.0816
20190110,20190117,002420.SZ,毅昌科技,23.0,139548.0,3.51,17900.0,62829.0,0.019978,0.008547,hold,,3144860.17,0.0816
20190110,20190117,600213.SH,*ST亚星(退),24.0,148500.0,6.4,9900.0,63360.0,0.020147,0.035937,hold,,3144860.17,0.0816
20190110,20190117,603991.SH,领先股份,25.0,140573.0,18.99,3300.0,62667.0,0.019927,0.011585,buy,,3144860.17,0.0816
20190110,20190117,300254.SZ,仟源医药,26.0,141857.7,6.83,9000.0,61470.0,0.019546,0.020498,hold,,3144860.17,0.0816
20190110,20190117,603879.SH,永悦科技,27.0,142704.0,9.95,6000.0,59700.0,0.018983,0.001005,hold,,3144860.17,0.0816
20190110,20190117,300022.SZ,吉峰科技,28.0,144491.3,3.93,16900.0,66417.0,0.021119,-0.02799,hold,,3144860.17,0.0816
20190110,20190117,000835.SZ,长动退(退),29.0,145408.4,4.37,14300.0,62491.0,0.019871,0.011442,hold,,3144860.17,0.0816
20190110,20190117,002569.SZ,*ST步森,30.0,143790.3,10.19,6300.0,64197.0,0.020413,0.02159,hold,,3144860.17,0.0816
20190110,20190117,000713.SZ,国投丰乐,31.0,143759.3,4.8,13000.0,62400.0,0.019842,0.010417,hold,,3144860.17,0.0816
20190110,20190117,300093.SZ,金刚光伏,32.0,143208.0,6.63,9900.0,65637.0,0.020871,0.007541,hold,,3144860.17,0.0816
20190110,20190117,600095.SH,湘财股份,33.0,144505.4,4.01,15600.0,62556.0,0.019892,0.012469,hold,,3144860.17,0.0816
20190110,20190117,600605.SH,汇通能源,34.0,142334.9,9.76,6400.0,62464.0,0.019862,0.006148,buy,,3144860.17,0.0816
